,0
0, 將大腦產生的生物電流集中起來 可以點亮一個小燈泡...
1, 人類可以做出 7000種不同的表情...
2, 用力捏一顆網球所用的力道 相當於心臟將血液 抽送到全身所用的力量...
3, 嬰兒在出生前 就會開始作夢...
4, 眼球含有 3.5%的鹽分...
5, 皺眉平均要動用到43條肌肉 微笑則平均只用到17條肌肉...
6, 一個噴嚏可以形成 每小時1百哩（約160公里）的風速...
7, 人在臉紅時 胃壁也會變紅...
8, 如果你省下一生中所有眨眼的時間 然後再一次全部用完 你的眼前將有長達1.2年是一片漆黑...
9, 你嘴裡的細菌數量 比起美國和加拿大 加起來的人口總數還多...
10, 人體最大的肌肉 就在你的屁股上...
11, 腸子長度是 身高的4.5倍...
12, 人體的肌肉比毛毛蟲還少 人體全身總計有超過600條肌肉...
13, 左耳受右腦控制，右腦主導情感 因此左耳接受到甜言蜜語時比右耳敏捷...
14, 人體的手指尖皮膚 對外來刺激最敏感...
15, 舌頭 有一萬個味蕾...
16, 睡眠時耗費的熱量 比看電視更多...
17, 打噴嚏時 人的心臟 會停止跳動約1毫秒...
18, 人的左右鼻孔三個小時替換呼吸一回...
19, 大拇指的指甲長的最慢 中指的指甲長的最快...
